Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.9172757667E7, 2.97619047619048E7
Trial 1-128.0, 1.55851708E7, 1.68918918918919E7
Trial 1-200.0, 1.1187744317E7, 1.13636363636364E7
,,,,,,Port //1/2,9586359.117,14880952.381,6442.03,10000,,,
,,,,,,Port //1/1,9586398.55,14880952.381,6442.06,10000,,,
1,128,Passed,92.265,92.264,92.264,,15585170.8,16891891.892,18453,20000,0,False,False
,,,,,,Port //1/2,7792571.2,8445945.946,9226.4,10000,,,
,,,,,,Port //1/1,7792599.6,8445945.946,9226.44,10000,,,
1,200,Passed,98.453,98.452,98.452,,11187744.317,11363636.364,19690.6,20000,0,False,False
,,,,,,Port //1/2,5593862.3,5681818.182,9845.2,10000,,,
,,,,,,Port //1/1,5593882.017,5681818.182,9845.23,10000,,,
1,256,Passed,100,99.999,99.999,,9057895.05,9057971.014,20000,20000,0,False,False
,,,,,,Port //1/2,4528939.8,4528985.507,9999.9,10000,,,
,,,,,,Port //1/1,4528955.25,4528985.507,9999.93,10000,,,
1,350,Passed,99.226,99.225,99.225,,6704402.3,6756756.757,19845.2,20000,0,False,False
,,,,,,Port //1/2,3352195.583,3378378.378,9922.5,10000,,,
,,,,,,Port //1/1,3352206.717,3378378.378,9922.53,10000,,,
1,384,Passed,100,99.999,99.999,,6188064.733,6188118.812,20000,20000,0,False,False
,,,,,,Port //1/2,3094027.683,3094059.406,9999.9,10000,,,
,,,,,,Port //1/1,3094037.05,3094059.406,9999.93,10000,,,
1,440,Passed,100,99.999,99.999,,5434735.9,5434782.609,20000,20000,0,False,False
,,,,,,Port //1/2,2717363.633,2717391.304,9999.9,10000,,,
,,,,,,Port //1/1,2717372.267,2717391.304,9999.93,10000,,,
1,448,Passed,100,99.999,99.999,,5341834.083,5341880.342,20000,20000,0,False,False
,,,,,,Port //1/2,2670912.833,2670940.171,9999.9,10000,,,
,,,,,,Port //1/1,2670921.25,2670940.171,9999.93,10000,,,
1,500,Passed,93.039,93.038,93.038,,4472991.15,4807692.308,18607.8,20000,0,False,False
,,,,,,Port //1/2,2236491.983,2403846.154,9303.81,10000,,,
,,,,,,Port //1/1,2236499.167,2403846.154,9303.84,10000,,,
1,512,Passed,100,99.999,99.999,,4699206.883,4699248.12,20000,20000,0,False,False
,,,,,,Port //1/2,2349599.8,2349624.06,9999.9,10000,,,
,,,,,,Port //1/1,2349607.083,2349624.06,9999.93,10000,,,
1,1024,Passed,97.679,97.678,97.678,,2339036.233,2394636.015,19535.8,20000,0,False,False
,,,,,,Port //1/2,1169516.4,1197318.008,9767.8,10000,,,
,,,,,,Port //1/1,1169519.833,1197318.008,9767.83,10000,,,
1,1280,Passed,93.812,93.811,93.811,,1804061.35,1923076.923,18762.4,20000,0,False,False
,,,,,,Port //1/2,902029.383,961538.462,9381.11,10000,,,
,,,,,,Port //1/1,902031.967,961538.462,9381.13,10000,,,
1,1500,Passed,100,99.999,99.999,,1644722.45,1644736.842,20000,20000,0,False,False
,,,,,,Port //1/2,822360.017,822368.421,9999.9,10000,,,
,,,,,,Port //1/1,822362.433,822368.421,9999.93,10000,,,
1,1518,Passed,94.585,94.584,94.584,,1537454.283,1625487.646,18917,20000,0,False,False
,,,,,,Port //1/2,768726.017,812743.823,9458.4,10000,,,
,,,,,,Port //1/1,768728.267,812743.823,9458.43,10000,,,

iMIX Distributions Table
iMIX Distribution,Frame Length Mode,IP Total Length,Default Ethernet,POS Length,Weight,Percentage (%)
N/A,N/A,N/A,N/A,N/A,N/A,N/A

\2544-Tput-Summary_2010-11-22_13-20-31.db\RFC 2544 Throughput Test Result Detailed Summary View

Trial Number,Frame Size Type,Configured Frame Size,Avg Frame Size,iMIX Distribution,Intended Load (%),Offered Load (%),Result,Throughput (%),Max Latency Threshold Exceeded,Out Of Seq Threshold Exceeded,Tx Frame Count,Rx Frame Count,Frame Loss,Percent Loss,Offered Load (fps),Forwarding Rate (fps),Minimum Latency (us),Maximum Latency (us),Average Latency (us),Minimum Jitter (us),Maximum Jitter (us),Average Jitter (us),Out Of Sequence Count,Flood Frame Count,Unexpected Rx Signature Frames,Duration(sec)
1,Fixed,64.0,64.0,N/A,100.0,99.999,Failed,0.0,False,False,1785699058,1130877952,654821106,36.670294642671,29761650.967,18847919.88,9.11,221.85,115.99,0.0,25.98,2.63,404697307,0,No,60.0
1,Fixed,64.0,64.0,N/A,50.5,50.5,Passed,50.5,False,False,901778135,901778135,0,0.0,15029635.583,15029627.6,7.63,25.65,12.99,0.0,8.71,0.49,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,75.25,75.249,Failed,50.5,False,False,1343738570,1111656935,232081635,17.2713383526678,22395642.833,18527561.17,8.22,228.11,118.36,0.0,22.94,1.86,175123479,0,No,60.0
1,Fixed,64.0,64.0,N/A,62.875,62.874,Passed,62.874,False,False,1122758176,1122758176,0,0.0,18712636.267,18712629.11,7.79,28.85,14.23,0.0,7.27,0.58,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,69.062,69.061,Failed,62.874,False,False,1233239751,1127439490,105800261,8.57905049802437,20553995.85,18790602.4,8.24,226.1,115.48,0.0,22.67,1.21,90346345,0,No,60.0
1,Fixed,64.0,64.0,N/A,65.968,65.967,Failed,62.874,False,False,1177990183,1134188035,43802148,3.71837971420514,19633169.717,18903115.05,7.69,66.68,30.36,0.0,7.91,0.6,39067478,0,No,60.0
1,Fixed,64.0,64.0,N/A,64.421,64.42,Passed,64.42,False,False,1150365460,1150365460,0,0.0,19172757.667,19172746.77,7.75,30.0,14.55,0.0,6.97,0.58,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,65.195,65.194,Failed,64.42,False,False,1164186530,1127244232,36942298,3.17322843445028,19403108.833,18787387.95,7.75,63.6,30.26,0.0,7.4,0.63,33592797,0,No,60.0
1,Fixed,128.0,128.0,N/A,100.0,99.999,Failed,0.0,False,False,1013505081,973006459,40498622,3.9958972835184,16891751.35,16216757.14,8.67,65.42,33.61,0.0,8.99,0.67,36063994,0,No,60.0
1,Fixed,128.0,128.0,N/A,50.5,50.5,Passed,50.5,False,False,511820044,511820044,0,0.0,8530334.067,8530330.77,7.94,22.27,10.95,0.0,10.19,0.43,0,0,No,60.0
1,Fixed,128.0,128.0,N/A,75.25,75.249,Passed,75.249,False,False,762662463,762662463,0,0.0,12711041.05,12711035.75,7.99,25.3,12.82,0.0,9.16,0.5,0,0,No,60.0
1,Fixed,128.0,128.0,N/A,87.625,87.624,Passed,87.624,False,False,888083788,888083788,0,0.0,14801396.467,14801388.56,8.03,26.75,13.99,0.0,10.44,0.56,0,0,No,60.0
1,Fixed,128.0,128.0,N/A,93.812,93.811,Failed,87.624,False,False,950789332,941848657,8940675,0.94034237649608,15846488.867,15697463.24,8.01,64.52,32.93,0.0,9.73,0.59,8711078,0,No,60.0
1,Fixed,128.0,128.0,N/A,90.718,90.717,Passed,90.717,False,False,919431531,919431531,0,0.0,15323858.85,15323849.94,7.98,27.59,14.36,0.0,10.24,0.57,0,0,No,60.0
